lx ly rx ry view frame no. 
321 209 396 212 Looking left 1 
321 208 396 210 Looking left 2 
321 205 396 208 Looking left 3 
321 206 398 208 Looking left 4 
322 206 399 210 Looking left 5 
321 207 396 209 Looking left 6 
321 207 396 208 Looking left 7 
321 208 396 210 Looking left 8 
321 208 397 210 Looking left 9 
322 208 397 210 Looking left 10 
322 208 397 211 Looking left 11 
323 208 396 211 Looking left 12 
322 208 397 210 Looking left 13 
324 207 397 210 Looking left 14 
322 209 398 211 Looking left 15 
323 209 401 212 Looking left 16 
324 209 398 211 Looking left 17 
323 209 399 212 Looking left 18 
323 209 398 211 Looking left 19 
324 208 398 211 Looking left 20 
324 208 399 212 Looking left 21 
324 209 399 213 Looking left 22 
324 210 398 213 Looking left 23 
324 209 399 213 Looking left 24 
324 208 401 213 Looking left 25 
324 209 397 214 Looking left 26 
324 209 398 213 Looking left 27 
324 208 398 213 Looking left 28 
323 209 401 213 Looking left 29 
324 209 399 213 Looking left 30 
325 209 399 212 Looking left 31 
323 209 398 213 Looking left 32 
324 208 402 213 Looking left 33 
324 209 399 212 Looking left 34 
323 209 398 212 Looking left 35 
324 208 398 213 Looking left 36 
324 208 402 213 Looking left 37 
324 208 399 213 Looking left 38 
324 208 399 213 Looking left 39 
324 208 399 213 Looking left 40 
324 209 402 214 Looking left 41 
324 208 399 213 Looking left 42 
325 208 400 213 Looking left 43 
325 209 403 214 Looking left 44 
325 209 401 213 Looking left 45 
325 208 402 215 Looking left 46 
325 208 400 213 Looking left 47 
325 209 401 214 Looking left 48 
326 209 401 215 Looking left 49 
327 208 403 213 Looking left 50 
331 207 408 215 Looking left 51 
335 207 410 215 Looking left 52 
344 203 416 217 Looking left 53 
345 204 418 217 Looking left 54 
347 205 422 218 Looking left 55 
351 206 426 222 Looking left 56 
354 206 426 222 Looking left 57 
356 206 431 224 Looking left 58 
359 206 433 225 Looking left 59 
359 207 430 226 Looking left 60 
361 207 434 227 Looking left 61 
361 206 435 227 Looking left 62 
363 206 432 226 Looking left 63 
362 207 435 228 Looking left 64 
363 206 436 228 Looking left 65 
364 206 437 228 Looking left 66 
365 207 436 229 Looking left 67 
366 208 438 230 Looking left 68 
367 207 438 231 Looking left 69 
367 207 440 231 Looking left 70 
368 208 440 231 Looking left 71 
371 209 440 233 Looking left 72 
370 209 441 235 Looking left 73 
370 209 441 235 Looking left 74 
369 210 442 235 Looking left 75 
371 209 441 235 Looking left 76 
368 209 439 234 Looking left 77 
369 209 439 234 Looking left 78 
368 209 440 233 Looking left 79 
369 209 439 234 Looking left 80 
368 208 439 233 Looking left 81 
365 207 434 230 Looking left 82 
363 206 435 228 Looking left 83 
359 205 431 224 Looking left 84 
355 204 428 223 Looking left 85 
350 204 427 220 Looking left 86 
347 204 423 217 Looking left 87 
343 203 419 215 Looking left 88 
340 203 417 212 Looking left 89 
337 204 414 210 Looking left 90 
335 202 410 209 Looking left 91 
335 201 409 207 Looking left 92 
335 201 410 207 Looking left 93 
338 200 410 208 Looking left 94 
338 201 411 209 Looking left 95 
339 200 412 208 Looking left 96 
339 200 414 208 Looking left 97 
337 201 411 208 Looking left 98 
336 201 410 207 Looking left 99 
335 201 412 207 Looking left 100 
333 201 407 206 Looking left 101 
333 201 406 204 Looking left 102 
331 203 408 206 Looking left 103 
329 202 403 206 Looking left 104 
326 203 405 205 Looking left 105 
323 205 398 204 Looking left 106 
320 205 395 202 Looking left 107 
318 205 394 204 Looking left 108 
320 205 394 205 Looking left 109 
319 205 398 206 Looking left 110 
320 204 394 206 Looking left 111 
321 205 396 205 Looking left 112 
321 205 396 205 Looking left 113 
321 204 399 207 Looking left 114 
321 205 397 205 Looking left 115 
321 206 400 206 Looking left 116 
322 205 397 205 Looking left 117 
322 205 397 206 Looking left 118 
322 204 396 206 Looking left 119 
322 205 397 205 Looking left 120 
323 205 399 207 Looking left 121 
322 206 397 207 Looking left 122 
322 207 400 208 Looking left 123 
323 206 401 208 Looking left 124 
324 205 398 207 Looking left 125 
323 206 401 208 Looking left 126 
324 206 398 206 Looking left 127 
324 206 397 208 Looking left 128 
323 207 398 208 Looking left 129 
324 206 399 208 Looking left 130 
324 206 401 210 Looking left 131 
323 208 398 209 Looking left 132 
323 207 397 208 Looking left 133 
323 208 396 210 Looking left 134 
323 208 397 209 Looking left 135 
323 206 398 208 Looking left 136 
324 206 398 208 Looking left 137 
323 206 401 208 Looking left 138 
323 207 398 208 Looking left 139 
323 207 401 210 Looking left 140 
323 207 398 208 Looking left 141 
323 207 401 209 Looking left 142 
323 207 401 209 Looking left 143 
323 206 400 209 Looking left 144 
322 207 397 207 Looking left 145 
321 208 397 208 Looking left 146 
322 207 396 209 Looking left 147 
323 207 398 208 Looking left 148 
321 208 396 210 Looking left 149 
320 208 395 209 Looking left 150 
320 208 395 208 Looking left 151 
319 209 393 209 Looking center 152 
320 208 394 209 Looking left 153 
320 208 394 209 Looking left 154 
319 208 395 208 Looking left 155 
319 208 395 208 Looking left 156 
319 209 394 209 Looking left 157 
320 208 395 208 Looking left 158 
320 209 394 209 Looking left 159 
319 209 394 209 Looking left 160 
319 209 394 209 Looking left 161 
319 209 394 210 Looking left 162 
320 210 395 209 Looking left 163 
319 210 394 209 Looking left 164 
319 209 395 209 Looking left 165 
318 210 395 210 Looking left 166 
319 210 395 210 Looking left 167 
318 210 394 209 Looking left 168 
318 209 398 210 Looking left 169 
318 208 394 209 Looking left 170 
319 209 395 208 Looking left 171 
319 208 395 208 Looking left 172 
319 208 394 208 Looking left 173 
320 208 398 209 Looking left 174 
319 209 395 209 Looking left 175 
319 209 398 209 Looking left 176 
318 209 396 208 Looking left 177 
318 210 395 210 Looking left 178 
319 210 394 211 Looking left 179 
317 210 397 211 Looking left 180 
318 212 391 211 Looking left 181 
316 210 391 211 Looking center 182 
316 213 393 211 Looking left 183 
316 212 393 212 Looking left 184 
316 212 393 212 Looking left 185 
316 213 390 210 Looking left 186 
313 216 390 213 Looking center 187 
312 215 390 211 Looking center 188 
313 214 388 210 Looking center 189 
313 214 388 212 Looking left 190 
312 214 390 211 Looking left 191 
313 214 389 208 Looking left 192 
312 214 387 208 Looking center 193 
312 213 389 208 Looking center 194 
313 214 390 209 Looking left 195 
313 211 389 208 Looking left 196 
313 212 389 207 Looking left 197 
309 215 397 219 Blinking 199 
312 212 398 215 Blinking 200 
312 211 385 211 Looking center 201 
311 210 385 210 Looking center 202 
310 210 388 209 Looking center 203 
310 210 389 207 Looking left 204 
310 209 387 209 Looking left 205 
312 210 388 207 Looking left 206 
311 210 388 208 Looking left 207 
310 210 388 208 Looking center 208 
311 210 388 207 Looking left 210 
310 210 389 207 Looking left 211 
310 210 386 210 Looking center 212 
311 210 386 209 Looking center 213 
310 209 385 207 Looking center 214 
311 210 385 210 Looking center 215 
310 211 385 207 Looking center 216 
311 210 385 207 Looking center 217 
311 210 385 208 Looking center 218 
311 210 386 207 Looking center 219 
311 210 385 208 Looking center 220 
311 210 387 209 Looking center 221 
311 210 387 209 Looking center 222 
310 210 388 208 Looking left 223 
311 210 385 208 Looking center 224 
310 210 386 208 Looking center 225 
311 210 386 207 Looking left 226 
311 210 388 207 Looking left 227 
311 210 385 207 Looking center 228 
310 210 384 208 Looking center 229 
311 210 388 207 Looking left 230 
311 210 386 207 Looking center 231 
311 210 387 207 Looking center 232 
310 210 385 210 Looking center 233 
311 210 387 210 Looking center 234 
310 211 387 208 Looking center 235 
310 211 387 209 Looking center 237 
310 211 387 209 Looking center 238 
311 211 388 208 Looking left 239 
309 212 387 209 Looking center 240 
311 212 389 209 Looking left 241 
310 213 388 210 Looking left 242 
309 215 386 209 Looking center 243 
310 213 387 209 Looking left 244 
310 213 386 209 Looking center 245 
310 214 385 209 Looking center 246 
310 213 387 210 Looking left 247 
309 214 387 208 Looking center 248 
310 213 387 209 Looking center 249 
310 213 387 210 Looking left 250 
310 212 386 208 Looking center 251 
310 213 389 209 Looking left 252 
310 212 386 208 Looking center 253 
309 215 385 210 Looking center 254 
309 214 388 207 Looking left 255 
307 213 388 208 Looking center 256 
310 213 386 206 Looking center 257 
310 211 385 210 Looking center 258 
310 212 385 211 Looking center 259 
310 211 387 211 Looking center 260 
310 211 387 211 Looking left 261 
310 211 386 210 Looking center 262 
310 212 385 210 Looking center 263 
310 211 385 211 Looking center 265 
310 211 386 209 Looking center 266 
310 210 383 208 Looking center 267 
310 210 383 210 Looking center 268 
309 210 384 209 Looking center 269 
310 210 384 208 Looking center 270 
309 210 387 208 Looking left 271 
309 210 386 207 Looking left 272 
309 210 383 208 Looking center 273 
308 210 385 209 Looking center 274 
308 211 379 213 Looking center 276 
307 212 390 207 Looking left 278 
307 211 386 206 Looking left 279 
306 212 386 207 Looking center 281 
306 213 384 209 Looking center 284 
305 213 385 209 Looking center 285 
305 213 380 211 Looking center 286 
305 213 379 211 Looking center 287 
305 214 378 211 Looking center 288 
305 214 380 212 Looking center 289 
305 214 379 211 Looking center 290 
304 215 378 211 Looking center 291 
304 214 377 212 Looking center 292 
303 216 378 211 Looking center 293 
303 217 377 212 Looking center 294 
303 215 378 213 Looking center 295 
303 219 378 213 Looking center 296 
303 218 378 214 Looking center 297 
304 218 377 212 Looking center 298 
304 219 375 214 Looking center 299 
303 218 377 212 Looking center 300 
303 217 378 212 Looking center 301 
303 217 378 213 Looking center 302 
304 218 376 213 Looking center 303 
304 216 378 213 Looking center 304 
303 216 379 212 Looking center 305 
304 215 379 212 Looking center 306 
304 214 377 211 Looking center 307 
305 215 379 210 Looking center 308 
304 214 378 208 Looking center 309 
304 215 379 210 Looking center 310 
303 215 378 211 Looking center 311 
303 213 381 209 Looking center 312 
303 214 380 211 Looking center 313 
304 215 377 210 Looking center 314 
305 214 379 209 Looking center 315 
303 213 379 211 Looking center 316 
305 214 379 210 Looking center 317 
305 213 380 210 Looking center 318 
304 214 378 209 Looking center 319 
306 215 381 210 Looking center 320 
306 215 385 209 Looking left 321 
306 215 384 210 Looking left 322 
306 215 384 209 Looking left 323 
306 213 384 210 Looking center 324 
306 213 384 211 Looking center 325 
306 214 384 210 Looking left 326 
306 215 379 212 Looking center 327 
305 215 379 210 Looking center 328 
306 216 380 211 Looking center 329 
304 216 378 211 Looking center 330 
303 214 380 212 Looking center 331 
305 214 383 210 Looking center 332 
304 216 382 211 Looking center 333 
304 216 379 215 Looking center 334 
304 216 376 214 Looking center 335 
303 217 374 215 Looking center 336 
303 217 377 214 Looking center 337 
303 217 378 212 Looking center 338 
302 218 373 215 Looking center 340 
299 221 370 216 Looking center 348 
300 220 379 215 Looking center 350 
300 219 378 214 Looking center 351 
301 221 376 218 Looking center 352 
301 221 375 215 Looking center 353 
